mbid,artist_mb,artist_lastfm,country_mb,country_lastfm,tags_mb,tags_lastfm,listeners_lastfm,scrobbles_lastfm,ambiguous_artist
95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,The Killers,United States,,synthpop; alternative rock; american; new wave; usa; indie rock; alternative; américain; post-punk revival; pop rock; heartland rock; rock and indie; united states,indie; rock; indie rock; alternative; alternative rock,4428868,208722092,FALSE
f27ec8db-af05-4f36-916e-3d57f91ecf5e,Michael Jackson,Michael Jackson,United States,United States,rock; pop; american; blues; singer; usa; funk; soul; disco; rnb; composer; américain; lyricist; dance-pop; pop rock; new jack swing; parolier; chanteur; compositeur; classic pop and rock; cool; united states; pop soul; michael-jackson; contemporary rnb; r&b; contemporary r&b,pop; 80s; dance; soul; funk; king of pop; michael jackson; rock; Disco; legend; rnb; american; 90s; male vocalists; 70s; seen live; King; r&b; singer-songwriter; mj; pop rock; motown; genius; USA; The King of Pop; Dead; new jack swing; male vocalist; classic rock; Jackson; Michael; electronic; dance-pop; Legendary,3546966,131160791,FALSE
dfe9a7c4-8cf2-47f4-9dcb-d233c2b86ec3,Amy Winehouse,Amy Winehouse,United Kingdom,United Kingdom,pop; jazz; blues; british; uk; neo-soul; soul; crossover jazz; vocal jazz; jazz pop; english; jazz and blues; pop soul; i heard love is blind; death by overdose; r&b; contemporary r&b; rhythm & blues; frank; 27 club,soul; jazz; female vocalists; british; singer-songwriter; pop; funk; Amy Winehouse; Neo-Soul; blues; seen live; rnb; female vocalist; r&b; vocal jazz; UK; 00s; alternative; female; rhythm and blues; Retro; amy; ska; indie; rock; sexy; jazz vocal; chillout; legend; england; london; reggae; diva; english,2513247,94539297,FALSE
5441c29d-3602-4898-b1a1-b77fa23b8e50,David Bowie,David Bowie,United Kingdom,United Kingdom,rock; pop; alternative rock; experimental; british; singer-songwriter; uk; britannique; soul; glam rock; art rock; psychedelic pop; experimental rock; pop rock; blue-eyed soul; english; classic pop and rock; post-disco; pop/rock; art pop,rock; glam rock; classic rock; 80s; alternative; british; pop; 70s; glam; seen live; singer-songwriter; art rock; experimental; david bowie; new wave; alternative rock; indie; electronic; Progressive rock; male vocalists; bowie; 90s; Experimental Rock; proto-punk; 60s; UK; psychedelic; hard rock; pop rock; post-punk; ambient; classic; english; soul; genius; legend; Blue-Eyed Soul; britpop; indie rock; favorites; Psychedelic Rock; god; england; industrial; oldies; punk; electronica; funk; Avant-Garde; folk; krautrock; london; 00s; dance; folk rock; space rock; male vocalist; art pop; Awesome; Favourites,3354711,193061649,FALSE
65f4f0c5-ef9e-490c-aee3-909e7ae6b2ab,Metallica,Metallica,United States,United States,rock; 80s; heavy metal; 90s; thrash metal; metal; american; seen live; band; hard rock; usa; trash; américain; thrash; symphonic metal; alternative metal; speed metal; california; los angeles; crap; bay area; trash metal; 80s thrash metal; douchebag metal; american thrash metal; rock and indie; metallica; classic metal; 80s metal; classic thrash metal; 90s metal; 80's; 90's; hard'n'heavy; lame; a filk artist; the unforgiving; stopped being good after '97; stopped being good after '88; pompous asses,thrash metal; metal; heavy metal; hard rock; rock; seen live; metallica; speed metal; classic rock; american; thrash; 80s; trash metal; 90s; emo; USA; alternative; classic metal; Progressive metal; alternative rock; heavy; legends; Power metal,2894382,281172228,FALSE
64b94289-9474-4d43-8c93-918ccc1920d1,Billy Joel,Billy Joel,United States,United States,rock; classical; pop; american; soft rock; pop rock; piano rock; classic pop and rock; this is the time; singer/songwriter,classic rock; singer-songwriter; rock; pop; piano; 80s; soft rock; seen live; 70s; billy joel; american; male vocalists; piano rock; pop rock; oldies; new york; classic; 90s; favorites; USA; folk; easy listening; jazz; male vocalist; Pop-Rock; Classical; piano man; adult contemporary; Favorite; indie; alternative; Favorite Artists; Rock and Roll; male; acoustic,1775916,33653474,FALSE
67f66c07-6e61-4026-ade5-7e782fad3a5d,Foo Fighters,Foo Fighters,United States,United States,rock; alternative rock; american; grunge; hard rock; alternative; post-grunge; acoustic rock; pop rock; us; rock and indie; everlong,rock; alternative rock; Grunge; alternative; seen live; hard rock; post-grunge; foo fighters; indie; american; punk; 90s; indie rock; Dave Grohl; metal; Post Grunge; punk rock; USA; favorites; male vocalists; pop; 00s; classic rock; emo; seattle,4005236,194253620,FALSE
95e1ead9-4d31-4808-a7ac-32c3614c116b,The Killers,The Killers,United States,,synthpop; alternative rock; american; new wave; usa; indie rock; alternative; américain; post-punk revival; pop rock; heartland rock; rock and indie; united states,indie; rock; indie rock; alternative; alternative rock,4428868,208722092,FALSE
a3cb23fc-acd3-4ce0-8f36-1e5aa6a18432,U2,U2,Ireland,Ireland,rock; electronic; alternative rock; irish; post-punk; band; irlande; ireland; irlandais; pop rock; alternative dance; 1980; classic pop and rock; éire; grammy winner; pop/rock; clean up,rock; classic rock; irish; pop; alternative,3487345,142775747,FALSE
f4d5cc07-3bc9-4836-9b15-88a08359bc63,P!nk,P!nk,United States,United States,pop; electropop; dance-pop; pop rock; pop and chart; united states; sober; contemporary r&b,pop; pop rock; female vocalists; rock; female; seen live; pink; american; P!nk; dance; rnb; singer-songwriter; female vocalist; 00s; alternative; punk; Pop-Rock; sexy; USA; Hip-Hop; alternative rock; electronic; r&b; soul; pop punk; indie; Awesome; favorites; party; fun; dance-pop; amazing; cool; english,2495211,68613195,FALSE
7808accb-6395-4b25-858c-678bbb73896b,Bastille,Bastille,United Kingdom,United Kingdom,rock; synthpop; uk; london; electropop; indie pop; pop rock,indie; electronic; alternative; british; seen live; House; indie rock; pop; indie pop; alternative rock; rock; synthpop; male vocalists; dubstep; pop rock; electronica; english; bastille; london; UK; england; britpop; electro house; indietronica; dance; 10s; All,1054768,40227116,FALSE
9d1ebcfe-4c15-4d18-95d3-d919898638a1,Lou Reed,Lou Reed,United States,United States,rock; noise; heavy metal; american; glam rock; art rock; folk-rock; experimental rock; pop rock; gothic rock; protopunk; noise rock; classic pop and rock; proto-punk,rock; classic rock; singer-songwriter; glam rock; proto-punk; seen live; 70s; alternative; american; new york; indie; Lou Reed; experimental; art rock; punk; 80s; 60s; male vocalists; alternative rock; glam; psychedelic; noise; Experimental Rock; pop; USA; Psychedelic Rock; folk; Avant-Garde; genius; hard rock; oldies; proto punk; Progressive rock; 90s; post-punk; jazz; Rock and Roll; indie rock; guitar; New York Punk; Velvet Underground; NYC; underground; Protopunk; new wave; pop rock; Brooklyn; punk rock; The Velvet Underground; noise rock; blues; legend,1528338,28321561,FALSE
6ffb8ea9-2370-44d8-b678-e9237bbd347b,Kings of Leon,Kings of Leon,United States,United States,rock; alternative rock; american; usa; indie rock; indie; alternative; southern rock; américain; garage rock revival; pop rock; garage rock; rock and indie; united states,rock; indie; indie rock; alternative; seen live; Southern Rock; alternative rock; american; Garage Rock; kings of leon; 00s; male vocalists; USA; Nashville; Tennessee; Alt-country; classic rock; folk; blues; pop; garage rock revival; garage; Rock and Roll; pay attention; favorites; Recommended; country rock; hard rock; kickasstic; punk; indie pop; britpop; blues rock,3437638,169728792,FALSE
d43d12a1-2dc9-4257-a2fd-0a3bb1081b86,Johnny Cash,Johnny Cash,United States,United States,rock; folk; american; blues; singer-songwriter; rockabilly; country; americana; spoken word; contemporary folk; gospel; rock and roll; outlaw country; traditional country; favorite; death by diabetes; country gospel; cowboy; osteraker; johnny cash rock island,country; folk; singer-songwriter; classic rock; rock; americana; Alt-country; blues; Johnny Cash; american; rockabilly; acoustic; classic country; legend; 60s; male vocalists; indie; outlaw country; oldies; Rock and Roll; folk rock; 50s; gospel; classic; 70s; country rock; alternative; USA; guitar; 80s; Nashville; favorites; rock n roll; kickasstic; Recommended; cash; man in black; pay attention; Traditional Country,2795136,104272344,FALSE
a6c6897a-7415-4f8d-b5a5-3a5e05f3be67,twenty one pilots,Twenty One Pilots,United States,,alternative rock; rap; hip-hop; electropop; indie pop; alternative rap; hip-hop/rap,electronic; indie; alternative; indie pop; seen live,761227,48039584,FALSE
144ef525-85e9-40c3-8335-02c32d0861f3,John Mayer,John Mayer,United States,United States,rock; pop; jazz; blues; folk rock; production music; alternative; soul; blues rock; americana; acoustic rock; pop rock; singer/songwriter; john mayer,singer-songwriter; acoustic; rock; pop; Acoustic Rock; seen live; blues; alternative; john mayer; male vocalists; chill; guitar; pop rock; blues rock; american; Mellow; indie; soft rock; alternative rock; folk; soul; easy listening; jazz; favorites; chillout; Favorite; Love; male vocalist; 00s; male; Pop-Rock; USA; emo; singer songwriter; amazing; relax; indie rock; soft; Adult Alternative; classic rock; country; beautiful; Favorite Artists; Mayer,2453071,110319385,FALSE
f59c5520-5f46-4d2c-b2c4-822eabf53419,Linkin Park,Linkin Park,United States,United States,rock; alternative rock; industrial rock; metal; american; hip hop; usa; nu metal; new metal; américain; alternative metal; pop rock; rapcore; rap metal; rap rock; alt rock; nu-metal; rock and indie; united states; roxette; the greatest,rock; Nu Metal; alternative rock; alternative; metal; seen live; rapcore; Linkin Park; Nu-metal; alternative metal; american; hard rock; crossover; punk; electronic; pop; rap; rap rock; rap metal; emo; male vocalists; Hip-Hop; pop rock; USA; punk rock; lp; 00s; new metal; favorites; NOT METAL; indie; linkin; shit; California; electronic rock; Rap-Rock,3978390,294986508,FALSE
70248960-cb53-4ea4-943a-edb18f7d336f,Bruce Springsteen,Bruce Springsteen,United States,Jersey; United States,rock; folk; cotm; american; singer-songwriter; usa; americana; américain; pop rock; contemporary folk; heartland rock; classic pop and rock; grammy winner; singer/songwriter; pop/rock,rock; classic rock; singer-songwriter; 80s; folk; seen live; american; americana; Bruce Springsteen; folk rock; male vocalists; 70s; the boss; heartland rock; pop; new jersey; 90s; USA; hard rock; guitar; rock n roll; pop rock; political; legend; 00s; favorites; classic; acoustic; Rock and Roll; springsteen; alternative; folk-rock; blues; oldies; country; bruce; roots rock; alternative rock,2166429,78820430,FALSE
6f1a58bf-9b1b-49cf-a44a-6cefad7ae04f,Dua Lipa,Dua Lipa,United Kingdom,,synthpop; electropop; contemporary r&b,,510281,22356378,FALSE
